name,incoming,outgoing,num_incoming,num_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,url,timestamp,label
SDKÚ,6500.7,-6014.0,4,3,486.6999999999998,1625.175,-2004.6666666666667,3,2166.9,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk8611000000002943155496,24.11.2023-01:04:16,PS
SNS,1059071.6,-1056566.1099999999,51,687,2505.4899999999934,20766.109803921572,-1537.9419359534204,4,264767.9,https://www.transparentneucty.sk/#/ucet/SK1709000000005201011948,24.11.2023-01:04:16,PS
SPRAVODLIVOSŤ,9750.0,-6547.619999999999,4,93,3202.38,2437.5,-70.40451612903225,4,2437.5,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk9111000000002945151763,24.11.2023-01:04:16,PS
SRDCE,68298.04000000001,-67517.09,17,97,780.9500000000044,4017.531764705883,-696.0524742268041,11,6208.912727272728,https://www.transparentneucty.sk/#/ucet/SK1709000000005204184430,24.11.2023-01:04:16,PS
SaS,2089818.07,-1981400.75,41,901,108417.32000000004,50971.17243902439,-2199.1129300776915,7,298545.4385714286,https://www.transparentneucty.sk/#/ucet/SK4609000000005199496092,24.11.2023-01:04:16,PS
Slovenské Hnutie Obrody,6263.0,-6244.619999999999,96,38,18.379999999999995,65.23958333333333,-164.33210526315787,54,115.98148148148148,https://ib.fio.sk/ib/transparent?a=2502606052,24.11.2023-01:04:16,PS
Sme Rodina,1880762.1099999999,-1880738.06,132,1424,24.04999999998836,14248.197803030302,-1320.7430196629214,79,23807.115316455696,https://www.transparentneucty.sk/#/ucet/SK4409000000005200310540,24.11.2023-01:04:16,PS
Smer,2720253.0,-2707970.0,19,705,12282.99999999997,143171.2105263158,-3841.0921985815603,1,2720253.0,https://www.transparentneucty.sk/#/ucet/SK1809000000005200055607,24.11.2023-01:04:16,PS
Spoločne občania Slovenska,38735.67,-38695.81,33,48,39.85999999999876,1173.8081818181818,-806.1627083333333,13,2979.666923076923,https://www.transparentneucty.sk/#/ucet/SK1009000000005203740781,24.11.2023-01:04:16,PS
Vlastenecký blok,25777.8,-23875.92,54,33,1901.8799999999992,477.3666666666667,-723.5127272727273,39,660.9692307692308,https://www.transparentneucty.sk/#/ucet/SK3309000000005204130889,24.11.2023-01:04:16,PS
Za Ľudí,407275.0,-404604.43000000005,13,252,2670.5700000000006,31328.846153846152,-1605.573134920635,6,67879.16666666667,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk1111000000002945150584,24.11.2023-01:04:16,PS
